t.name,s.id,s.name,s.description,labels(s)
""".NET Full Stack Developer""","""KS126XS6CQCFGC3NG79X""",""".NET Assemblies""","""Defined by Microsoft for use in recent versions of Windows, an assembly in the Common Language Infrastructure (CLI) is a compiled code library used for deployment, versioning, and security. There are two types: process assemblies (EXE) and library assemblies (DLL). A process assembly represents a process that will use classes defined in library assemblies. CLI assemblies contain code in CIL, which is usually generated from a CLI language, and then compiled into machine language at run time by the just-in-time compiler. In the .NET Framework implementation, this compiler is part of the Common Language Runtime (CLR).""","[""SpecializedSkill""]"
"""AX Developer""","""KS126XS6CQCFGC3NG79X""",""".NET Assemblies""","""Defined by Microsoft for use in recent versions of Windows, an assembly in the Common Language Infrastructure (CLI) is a compiled code library used for deployment, versioning, and security. There are two types: process assemblies (EXE) and library assemblies (DLL). A process assembly represents a process that will use classes defined in library assemblies. CLI assemblies contain code in CIL, which is usually generated from a CLI language, and then compiled into machine language at run time by the just-in-time compiler. In the .NET Framework implementation, this compiler is part of the Common Language Runtime (CLR).""","[""SpecializedSkill""]"
"""Software Developer""","""ES50D03AC9CFC1A0BC93""",""".NET Development""","""The .NET Framework is a software framework developed by Microsoft that runs primarily on Microsoft Windows. It includes a large class library called Framework Class Library (FCL) and provides language interoperability across several programming languages. Programs written for .NET Framework execute in a software environment named the Common Language Runtime (CLR). The CLR is an application virtual machine that provides services such as security, memory management, and exception handling. As such, computer code written using .NET Framework is called \""managed code\"". FCL and CLR together constitute the .NET Framework.""","[""SpecializedSkill""]"
""".NET Developer""","""ES50D03AC9CFC1A0BC93""",""".NET Development""","""The .NET Framework is a software framework developed by Microsoft that runs primarily on Microsoft Windows. It includes a large class library called Framework Class Library (FCL) and provides language interoperability across several programming languages. Programs written for .NET Framework execute in a software environment named the Common Language Runtime (CLR). The CLR is an application virtual machine that provides services such as security, memory management, and exception handling. As such, computer code written using .NET Framework is called \""managed code\"". FCL and CLR together constitute the .NET Framework.""","[""SpecializedSkill""]"
""".NET Full Stack Developer""","""ES50D03AC9CFC1A0BC93""",""".NET Development""","""The .NET Framework is a software framework developed by Microsoft that runs primarily on Microsoft Windows. It includes a large class library called Framework Class Library (FCL) and provides language interoperability across several programming languages. Programs written for .NET Framework execute in a software environment named the Common Language Runtime (CLR). The CLR is an application virtual machine that provides services such as security, memory management, and exception handling. As such, computer code written using .NET Framework is called \""managed code\"". FCL and CLR together constitute the .NET Framework.""","[""SpecializedSkill""]"
""".NET Developer""","""KS1200B62W5ZF38RJ7TD""",""".NET Framework""","""The .NET Framework is a software framework developed by Microsoft that runs primarily on Microsoft Windows. It includes a large class library called Framework Class Library (FCL) and provides language interoperability across several programming languages. Programs written for .NET Framework execute in a software environment named the Common Language Runtime (CLR). The CLR is an application virtual machine that provides services such as security, memory management, and exception handling. As such, computer code written using .NET Framework is called \""managed code\"". FCL and CLR together constitute the .NET Framework.""","[""SpecializedSkill""]"
""".NET Full Stack Developer""","""KS1200B62W5ZF38RJ7TD""",""".NET Framework""","""The .NET Framework is a software framework developed by Microsoft that runs primarily on Microsoft Windows. It includes a large class library called Framework Class Library (FCL) and provides language interoperability across several programming languages. Programs written for .NET Framework execute in a software environment named the Common Language Runtime (CLR). The CLR is an application virtual machine that provides services such as security, memory management, and exception handling. As such, computer code written using .NET Framework is called \""managed code\"". FCL and CLR together constitute the .NET Framework.""","[""SpecializedSkill""]"
"""Software Developer""","""KS1200B62W5ZF38RJ7TD""",""".NET Framework""","""The .NET Framework is a software framework developed by Microsoft that runs primarily on Microsoft Windows. It includes a large class library called Framework Class Library (FCL) and provides language interoperability across several programming languages. Programs written for .NET Framework execute in a software environment named the Common Language Runtime (CLR). The CLR is an application virtual machine that provides services such as security, memory management, and exception handling. As such, computer code written using .NET Framework is called \""managed code\"". FCL and CLR together constitute the .NET Framework.""","[""SpecializedSkill""]"
"""Full Stack C# Developer""","""KS126XW78QJCF4TRV2X7""",""".NET Framework 1""","""Microsoft started development on the .NET Framework in the late 1990s originally under the name of Next Generation Windows Services (NGWS). By late 2001 the first beta versions of .NET 1.0 were released. The first version of .NET Framework was released on 13 February 2002, bringing managed code to Windows NT 4.0, 98, 2000, ME and XP.""","[""SpecializedSkill""]"
"""ASP.NET Developer""","""KS126XY68BNKXSBSLPYS""",""".NET Framework 3""","""The .NET Framework is a software framework developed by Microsoft that runs primarily on Microsoft Windows. It includes a large class library called Framework Class Library (FCL) and provides language interoperability across several programming languages. Programs written for .NET Framework execute in a software environment named the Common Language Runtime (CLR). The CLR is an application virtual machine that provides services such as security, memory management, and exception handling. As such, computer code written using .NET Framework is called \""managed code\"". FCL and CLR together constitute the .NET Framework.""","[""SpecializedSkill""]"
