ID,Skill,Description,Category
1001,.NET Assemblies,"Defined by Microsoft for use in recent versions of Windows, an assembly in the Common Language Infrastructure (CLI) is a compiled code library used for deployment, versioning, and security. There are two types: process assemblies (EXE) and library assemblies (DLL). A process assembly represents a process that will use classes defined in library assemblies. CLI assemblies contain code in CIL, which is usually generated from a CLI language, and then compiled into machine language at run time by the just-in-time compiler. In the .NET Framework implementation, this compiler is part of the Common Language Runtime (CLR).",SpecializedSkill
1002,.NET Development,"The .NET Framework is a software framework developed by Microsoft that runs primarily on Microsoft Windows. It includes a large class library called Framework Class Library (FCL) and provides language interoperability across several programming languages. Programs written for .NET Framework execute in a software environment named the Common Language Runtime (CLR). The CLR is an application virtual machine that provides services such as security, memory management, and exception handling. As such, computer code written using .NET Framework is called \managed code\. FCL and CLR together constitute the .NET Framework.",SpecializedSkill
1003,.NET Framework,"The .NET Framework is a software framework developed by Microsoft that runs primarily on Microsoft Windows. It includes a large class library called Framework Class Library (FCL) and provides language interoperability across several programming languages. Programs written for .NET Framework execute in a software environment named the Common Language Runtime (CLR). The CLR is an application virtual machine that provides services such as security, memory management, and exception handling. As such, computer code written using .NET Framework is called \managed code\. FCL and CLR together constitute the .NET Framework.",SpecializedSkill
1004,.NET Framework 1,"Microsoft started development on the .NET Framework in the late 1990s originally under the name of Next Generation Windows Services (NGWS). By late 2001 the first beta versions of .NET 1.0 were released. The first version of .NET Framework was released on 13 February 2002, bringing managed code to Windows NT 4.0, 98, 2000, ME and XP.",SpecializedSkill
1005,.NET Framework 3,"The .NET Framework is a software framework developed by Microsoft that runs primarily on Microsoft Windows. It includes a large class library called Framework Class Library (FCL) and provides language interoperability across several programming languages. Programs written for .NET Framework execute in a software environment named the Common Language Runtime (CLR). The CLR is an application virtual machine that provides services such as security, memory management, and exception handling. As such, computer code written using .NET Framework is called \managed code\. FCL and CLR together constitute the .NET Framework.",SpecializedSkill
1006,.NET MAUI (Multi-Platform App UI),"This article contains a list of libraries that can be used in .NET languages. These languages require .NET Framework, Mono, or .NET, which provide a basis for software development, platform independence, language interoperability and extensive framework libraries. Standard Libraries are not included in this article.",SpecializedSkill
1007,.NET Remoting,".NET Remoting is a Microsoft application programming interface (API) for interprocess communication released in 2002 with the 1.0 version of .NET Framework. It is one in a series of Microsoft technologies that began in 1990 with the first version of Object Linking and Embedding (OLE) for 16-bit Windows. Intermediate steps in the development of these technologies were Component Object Model (COM) released in 1993 and updated in 1995 as COM-95, Distributed Component Object Model (DCOM), released in 1997, and COM+ with its Microsoft Transaction Server (MTS), released in 2000. It is now superseded by Windows Communication Foundation (WCF), which is part of the .NET Framework 3.0.",SpecializedSkill
1008,ARCore,"ARCore, also known as Google Play Services for AR, is a software development kit developed by Google that allows for augmented reality applications to be built.",SpecializedSkill
1009,ARKit,"ARKit is a software development framework developed by Apple to create augmented reality experiences on iOS devices. It is a specialized skill that involves programming in Swift or Objective-C to create 3D models, animations, and interactions with real-world objects in the user's surroundings. ARKit utilizes advanced computer vision and machine learning technologies to accurately track the device's position and orientation, enabling developers to create realistic and immersive augmented reality experiences for mobile devices.",SpecializedSkill
1010,AWS Amplify,"AWS Amplify is a development platform that allows developers to easily build scalable and secure cloud-powered web and mobile applications. It provides a set of libraries, tools, and services to simplify the process of building, testing, and deploying applications while automatically configuring the backend infrastructure. This platform is designed to support popular front-end frameworks and provides features like cloud hosting, authentication, API integration, and real-time data synchronization.",SpecializedSkill
1011,AWS AppSync,"AWS AppSync is a fully managed service that enables developers to build scalable and flexible APIs for their applications. AppSync supports real-time and offline capabilities, as well as GraphQL, a powerful query language for APIs. It also integrates with a variety of data sources, such as AWS Lambda, Amazon DynamoDB, and Amazon Elasticsearch. Developers can customize their APIs with security mechanisms and choose from a variety of client SDKs to access their data.",SpecializedSkill
1012,AWS Batch,"Amazon Web Services (AWS) is a subsidiary of Amazon providing on-demand cloud computing platforms and APIs to individuals, companies, and governments, on a metered pay-as-you-go basis. These cloud computing web services provide a variety of basic abstract technical infrastructure and distributed computing building blocks and tools. One of these services is Amazon Elastic Compute Cloud (EC2), which allows users to have at their disposal a virtual cluster of computers, available all the time, through the Internet. AWS's version of virtual computers emulates most of the attributes of a real computer, including hardware central processing units (CPUs) and graphics processing units (GPUs) for processing; local/RAM memory; hard-disk/SSD storage; a choice of operating systems; networking; and pre-loaded application software such as web servers, databases, and customer relationship management (CRM).",SpecializedSkill
1013,AWS Certified Developer,"AWS Certified Developer is a certification offered by Amazon Web Services (AWS) that validates the skills and expertise of developers in designing, deploying, and maintaining applications on the AWS platform. This certification requires passing an exam that covers various aspects of AWS development, including AWS services, development and deployment, security and scalability, and troubleshooting. Earning this certification demonstrates proficiency in building and maintaining applications on AWS and can enhance career opportunities and earning potential for developers.",Certification
1014,AWS CloudTrail,"AWS CloudTrail is a service that provides a record of actions taken by a user, role, or an AWS service in a specific account or region. It enables auditing, compliance, governance, and troubleshooting by logging and storing events related to AWS API calls, resource modifications, and account activity. The service allows users to view, search and download log files to analyze, monitor and investigate the AWS environment. AWS CloudTrail is a specialized skill for professionals working with AWS services and infrastructure.",SpecializedSkill
1015,AWS CodeBuild,"AWS CodeBuild is a fully-managed continuous integration service that compiles source code, runs tests, and produces software packages that are ready for deployment. It eliminates the need to provision, configure, and scale build servers, and integrates with other AWS services such as AWS CodePipeline and AWS CodeCommit. CodeBuild supports multiple programming languages, build tools, and operating systems, and allows developers to define their own custom build environments.",SpecializedSkill
1016,AWS CodeCommit,"AWS CodeCommit is a managed source code control service that enables teams to securely store and manage their code repositories in the cloud. It offers features such as easy collaboration, code reviews, and integration with popular third-party tools. CodeCommit is highly scalable and can be easily integrated with other AWS services for an end-to-end development workflow. It is a critical skill for developers, DevOps engineers, and software architects who want to leverage the power of cloud-based source control.",SpecializedSkill
1017,AWS CodePipeline,"AWS CodePipeline is a continuous delivery service provided by Amazon Web Services (AWS) that automates your software release process for fast and reliable application and infrastructure updates. It enables you to model, visualize, and automate the steps required to release your software, from code changes to automated testing to production deployments. This Specialized Skill requires expertise in configuring and managing CodePipeline pipelines, integration with other AWS tools and services, and troubleshooting issues that may arise during the release process.",SpecializedSkill
1018,AWS Elastic Beanstalk,"AWS Elastic Beanstalk is an orchestration service offered by Amazon Web Services for deploying applications which orchestrates various AWS services, including EC2, S3, Simple Notification Service (SNS), CloudWatch, autoscaling, and Elastic Load Balancers. Elastic Beanstalk provides an additional layer of abstraction over the bare server and OS; users instead see a pre-built combination of OS and platform, such as \64bit Amazon Linux 2014.03 v1.1.0 running Ruby 2.0 (Puma)\ or \64bit Debian jessie v2.0.7 running Python 3.4 \. Deployment requires a number of components to be defined: an  'application'  as a logical container for the project, a  'version'  which is a deployable build of the application executable, a  'configuration template'  that contains configuration information for both the Beanstalk environment and for the product. Finally an  'environment'  combines a  'version'  with a  'configuration'  and deploys them. Executables themselves are uploaded as archive files to S3 beforehand and the  'version'  is just a pointer to this.",SpecializedSkill
1019,AWS Glue,"Amazon Web Services (AWS) is a subsidiary of Amazon providing on-demand cloud computing platforms and APIs to individuals, companies, and governments, on a metered pay-as-you-go basis. These cloud computing web services provide a variety of basic abstract technical infrastructure and distributed computing building blocks and tools. One of these services is Amazon Elastic Compute Cloud (EC2), which allows users to have at their disposal a virtual cluster of computers, available all the time, through the Internet. AWS's version of virtual computers emulates most of the attributes of a real computer, including hardware central processing units (CPUs) and graphics processing units (GPUs) for processing; local/RAM memory; hard-disk/SSD storage; a choice of operating systems; networking; and pre-loaded application software such as web servers, databases, and customer relationship management (CRM).",SpecializedSkill
1020,AWS Inferentia,"AWS Inferentia is a custom-designed chip specifically built for accelerating machine learning inference workloads. It allows for faster and more cost-effective inference processing for deep learning models, making it an essential tool for organizations that deploy machine learning models at scale. In order to use AWS Inferentia effectively, specialized skills in software development and optimization are required.",SpecializedSkill
1021,AWS Internet Of Things (IoT),"Amazon Web Services (AWS) is a subsidiary of Amazon providing on-demand cloud computing platforms and APIs to individuals, companies, and governments, on a metered pay-as-you-go basis. These cloud computing web services provide a variety of basic abstract technical infrastructure and distributed computing building blocks and tools. One of these services is Amazon Elastic Compute Cloud (EC2), which allows users to have at their disposal a virtual cluster of computers, available all the time, through the Internet. AWS's version of virtual computers emulates most of the attributes of a real computer, including hardware central processing units (CPUs) and graphics processing units (GPUs) for processing; local/RAM memory; hard-disk/SSD storage; a choice of operating systems; networking; and pre-loaded application software such as web servers, databases, and customer relationship management (CRM).",SpecializedSkill
1022,AWS Lambda,"AWS Lambda is an event-driven, serverless computing platform provided by Amazon as a part of Amazon Web Services. It is a computing service that runs code in response to events and automatically manages the computing resources required by that code. It was introduced in November 2014.",SpecializedSkill
1023,AWS X-Ray,,SpecializedSkill
1024,Amazon Elastic Kubernetes Service,"Amazon Elastic Kubernetes Service (EKS) is a fully-managed container orchestration service that makes it easy to run Kubernetes on AWS. It simplifies the process of building, deploying, and managing containerized applications by providing a scalable, highly-available Kubernetes environment that can easily integrate with other AWS services. Amazon EKS eliminates the need to install and operate your own Kubernetes control plane, and lets you focus on your application development while it takes care of the underlying infrastructure.",SpecializedSkill
